submit_time,start_time,end_time,run_time,wait_time
67818,67819,67877,58,1
68881,68881,68883,2,0
68883,68883,68884,1,0
68883,68884,68885,1,1
68882,68882,68885,3,0
68884,68884,68886,2,0
68885,68885,68886,1,0
68886,68886,68887,1,0
69008,69008,69010,2,0
69009,69009,69010,1,0
69010,69010,69011,1,0
69010,69011,69012,1,1
69011,69011,69012,1,0
69134,69134,69135,1,0
69258,69258,69259,1,0
69257,69257,69260,3,0
69259,69259,69260,1,0
69381,69381,69383,2,0
69382,69383,69384,1,1
69382,69382,69384,2,0
69505,69505,69507,2,0
69507,69507,69508,1,0
69506,69506,69509,3,0
69508,69508,69509,1,0
69507,69507,69510,3,0
69509,69509,69510,1,0
69509,69509,69512,3,0
69632,69632,69634,2,0
69878,69878,69879,1,0
69879,69879,69880,1,0
67886,67886,69987,2101,0
70002,70002,70003,1,0
70001,70001,70004,3,0
70248,70248,70249,1,0
70248,70248,70251,3,0
70371,70371,70372,1,0
70372,70372,70373,1,0
70372,70372,70373,1,0
70373,70373,70375,2,0
70495,70495,70497,2,0
70496,70496,70497,1,0
70495,70495,70498,3,0
70497,70497,70499,2,0
70497,70497,70499,2,0
70498,70498,70499,1,0
70500,70500,70501,1,0
70499,70499,70502,3,0
70501,70501,70502,1,0
70500,70500,70503,3,0
70502,70502,70503,1,0
70503,70503,70504,1,0
70503,70503,70505,2,0
70505,70505,70506,1,0
70504,70504,70506,2,0
70505,70505,70507,2,0
70751,70751,70752,1,0
70752,70752,70753,1,0
70752,70752,70754,2,0
70754,70754,70755,1,0
70753,70753,70756,3,0
70754,70754,70756,2,0
70755,70755,70756,1,0
70757,70757,70758,1,0
70756,70756,70758,2,0
70879,70880,70881,1,1
70880,70880,70882,2,0
70881,70881,70882,1,0
70882,70882,70883,1,0
70881,70882,70884,2,1
70883,70883,70884,1,0
70884,70884,70885,1,0
70884,70884,70885,1,0
71007,71007,71008,1,0
71008,71008,71009,1,0
71008,71008,71010,2,0
71009,71009,71010,1,0
71010,71010,71012,2,0
71011,71011,71012,1,0
71011,71011,71013,2,0
71012,71012,71014,2,0
71135,71135,71136,1,0
71380,71380,71381,1,0
71379,71380,71382,2,1
71503,71503,71504,1,0
71503,71504,71505,1,1
71627,71627,71628,1,0
71626,71626,71629,3,0
71749,71749,71750,1,0
71750,71750,71752,2,0
71751,71751,71752,1,0
71751,71751,71753,2,0
71749,71749,71752,3,0
71752,71752,71753,1,0
71753,71753,71754,1,0
71753,71754,71755,1,1
71754,71754,71756,2,0
71755,71755,71756,1,0
71756,71756,71757,1,0
72000,72000,72002,2,0
72001,72001,72002,1,0
72002,72002,72004,2,0
72001,72002,72004,2,1
72003,72003,72004,1,0
72004,72004,72005,1,0
72004,72004,72006,2,0
72127,72127,72129,2,0
72128,72128,72129,1,0
72129,72129,72130,1,0
72129,72129,72130,1,0
72252,72252,72253,1,0
72253,72253,72254,1,0
72253,72253,72255,2,0
72254,72254,72256,2,0
72255,72255,72256,1,0
72377,72377,72378,1,0
72621,72621,72623,2,0
72745,72745,72747,2,0
72745,72745,72747,2,0
72746,72746,72747,1,0
72747,72747,72748,1,0
72747,72747,72749,2,0
72749,72749,72750,1,0
72748,72748,72751,3,0
72993,72993,72994,1,0
70131,70132,73074,2942,1
73115,73116,73117,1,1
73116,73116,73117,1,0
72660,72661,73151,490,1
72661,72661,73191,530,0
72660,72660,73325,665,0
72663,72663,73338,675,0
73362,73362,73363,1,0
73362,73362,73364,2,0
73363,73363,73364,1,0
73364,73364,73366,2,0
73364,73364,73366,2,0
73365,73365,73367,2,0
73366,73366,73367,1,0
72662,72662,73374,712,0
72907,72907,73412,505,0
73488,73488,73489,1,0
73733,73733,73735,2,0
73857,73857,73858,1,0
73857,73857,73859,2,0
73858,73858,73860,2,0
73859,73859,73861,2,0
73981,73981,73983,2,0
74104,74104,74106,2,0
74105,74105,74106,1,0
74106,74106,74108,2,0
74106,74106,74108,2,0
74107,74107,74108,1,0
74229,74229,74230,1,0
74229,74229,74231,2,0
