SubmitTime,StartTime,EndTime,QueuedTime,RunTime,NodesRequested,walltime,bslowdown
323,381,2034,58,1653,8,6000,1.0350877193
385,621,2260,236,1639,8,6000,1.14399023795
620,727,2350,107,1623,8,6000,1.06592729513
723,818,2453,95,1635,8,6000,1.05810397554
815,873,2510,58,1637,8,6000,1.03543066585
877,1141,2754,264,1613,8,6000,1.16367017979
1099,1105,1106,6,1,2,7200,1.0
1142,1205,2833,63,1628,8,6000,1.0386977887
1202,1213,6635,11,5422,5,14400,1.00202877167
1213,1219,6480,6,5261,5,14400,1.00114046759
1223,1230,6428,7,5198,5,14400,1.0013466718
1234,1321,6482,87,5161,5,14400,1.01685719822
1326,1333,6210,7,4877,5,14400,1.00143530859
1337,1457,6225,120,4768,5,14400,1.02516778523
1460,1541,6810,81,5269,5,14400,1.01537293604
1486,2277,9521,791,7244,2,7200,1.10919381557
1542,1548,5963,6,4415,5,14400,1.0013590034
1553,1568,6341,15,4773,5,14400,1.00314267756
1564,1575,6829,11,5254,5,14400,1.00209364294
1574,1947,6526,373,4579,5,14400,1.08145883381
1942,2046,6466,104,4420,5,14400,1.02352941176
2045,2052,7533,7,5481,5,14400,1.00127713921
2056,2272,6691,216,4419,5,14400,1.04887983707
2270,2362,7684,92,5322,5,14400,1.01728673431
2363,2369,7181,6,4812,5,14400,1.00124688279
2373,2465,6849,92,4384,5,14400,1.02098540146
2466,2521,7313,55,4792,5,14400,1.01147746244
2517,2528,7447,11,4919,5,14400,1.00223622688
2528,2766,8393,238,5627,5,14400,1.04229607251
2763,2844,7969,81,5125,5,14400,1.01580487805
2845,2851,7948,6,5097,5,14400,1.00117716304
2856,5812,11033,2956,5221,5,14400,1.56617506225
5817,5823,11252,6,5429,5,14400,1.00110517591
5828,5975,11466,147,5491,5,14400,1.02677107995
5971,6222,12123,251,5901,5,14400,1.04253516353
6227,6236,10699,9,4463,5,14400,1.00201658078
6237,6353,11887,116,5534,5,14400,1.02096132996
6350,6439,11629,89,5190,5,14400,1.01714836224
6443,6477,11208,34,4731,5,14400,1.0071866413
6474,6491,11107,17,4616,5,14400,1.00368284229
6495,6501,11602,6,5101,5,14400,1.00117623995
6505,6537,11399,32,4862,5,14400,1.00658165364
6536,6647,11207,111,4560,5,14400,1.02434210526
6649,6703,11620,54,4917,5,14400,1.01098230628
6701,6821,11545,120,4724,5,14400,1.02540220152
6824,6841,12711,17,5870,5,14400,1.00289608177
6845,6861,11934,16,5073,5,14400,1.0031539523
6866,7193,12870,327,5677,5,14400,1.05760084552
7193,7325,11850,132,4525,5,14400,1.02917127072
7326,7460,12094,134,4634,5,14400,1.02891670263
7460,7544,13084,84,5540,5,14400,1.01516245487
7542,7696,12127,154,4431,5,14400,1.03475513428
7695,7960,12466,265,4506,5,14400,1.05881047492
7961,7980,13358,19,5378,5,14400,1.00353291186
7982,8404,13137,422,4733,5,14400,1.08916120854
8401,10712,15923,2311,5211,5,14400,1.44348493571
8734,9533,9541,799,8,1,3600,80.7
9650,9656,9780,6,124,1,3600,1.04838709677
9905,9911,10214,6,303,1,3600,1.0198019802
10433,10439,11075,6,636,1,3600,1.00943396226
10710,11044,16112,334,5068,5,14400,1.06590370955
11047,11118,16303,71,5185,5,14400,1.01369334619
11119,11219,15810,100,4591,5,14400,1.0217817469
11222,11228,16215,6,4987,5,14400,1.00120312813
11232,11263,16142,31,4879,5,14400,1.00635376102
11263,11411,16639,148,5228,5,14400,1.02830910482
11407,11477,15797,70,4320,5,14400,1.0162037037
11479,11556,16702,77,5146,5,14400,1.01496307812
11561,11614,16320,53,4706,5,14400,1.01126221844
11578,11584,15193,6,3609,1,3600,1.00166251039
11612,11631,16714,19,5083,5,14400,1.00373795003
11633,11640,17244,7,5604,5,14400,1.00124910778
11644,11862,17389,218,5527,5,14400,1.03944273566
11859,11898,17033,39,5135,5,14400,1.00759493671
11900,11945,16511,45,4566,5,14400,1.00985545335
11942,12105,16627,163,4522,5,14400,1.03604599735
12105,12136,17470,31,5334,5,14400,1.00581177353
12137,12142,17177,5,5035,5,14400,1.00099304866
12147,12478,17022,331,4544,5,14400,1.07284330986
12227,12233,12241,6,8,1,1800,1.4
12402,12408,12487,6,79,1,1800,1.07594936709
12474,12722,17344,248,4622,5,14400,1.05365642579
12584,12592,12718,8,126,1,3600,1.06349206349
12720,12729,12825,9,96,1,1800,1.09375
12720,12881,17346,161,4465,5,14400,1.03605823068
12842,12848,13155,6,307,1,3600,1.01954397394
12884,13095,17460,211,4365,5,14400,1.04833906071
13099,13148,17773,49,4625,5,14400,1.01059459459
13150,13369,18274,219,4905,5,14400,1.04464831804
13321,13327,13710,6,383,1,1800,1.01566579634
13365,15808,21728,2443,5920,5,14400,1.41266891892
13381,13720,14347,339,627,1,3600,1.54066985646
13555,15203,58899,1648,43696,2,86400,1.03771512267
15301,17297,17394,1996,97,1,3600,21.5773195876
15348,17363,17462,2015,99,1,3600,21.3535353535
15809,15823,20355,14,4532,5,14400,1.00308914387
15820,15935,20917,115,4982,5,14400,1.02308309916
15932,16123,21884,191,5761,5,14400,1.03315396633
16127,16153,21365,26,5212,5,14400,1.0049884881
16158,16227,20696,69,4469,5,14400,1.01543969568
16230,16315,20886,85,4571,5,14400,1.01859549333
16312,16333,21720,21,5387,5,14400,1.00389827362
16333,16522,21183,189,4661,5,14400,1.04054923836
16528,16640,20981,112,4341,5,14400,1.0258005068
16640,16650,22310,10,5660,5,14400,1.00176678445
16651,16713,22289,62,5576,5,14400,1.01111908178
16713,16725,21396,12,4671,5,14400,1.00256904303
16724,17035,21690,311,4655,5,14400,1.06680988185
17030,17044,21621,14,4577,5,14400,1.00305877212
17041,17189,22493,148,5304,5,14400,1.02790346908
17195,17255,22949,60,5694,5,14400,1.0105374078
17257,17356,22464,99,5108,5,14400,1.01938136257
17359,17400,22819,41,5419,5,14400,1.00756597158
17401,17407,22182,6,4775,5,14400,1.0012565445
17411,17472,22978,61,5506,5,14400,1.0110788231
17473,17482,22616,9,5134,5,14400,1.00175301909
17484,17788,22906,304,5118,5,14400,1.05939820242
17528,17535,17828,7,293,1,3600,1.02389078498
17585,17828,18121,243,293,1,3600,1.82935153584
17791,18286,23226,495,4940,5,14400,1.10020242915
18111,18118,18648,7,530,1,3600,1.01320754717
18291,18611,23461,320,4850,5,14400,1.06597938144
18395,18401,18929,6,528,1,3600,1.01136363636
18608,18935,24051,327,5116,5,14400,1.06391712275
18936,20366,25613,1430,5247,5,14400,1.27253668763
19894,20665,20744,771,79,1,1800,10.7594936709
20366,20708,25563,342,4855,5,14400,1.07044284243
20703,20897,25538,194,4641,5,14400,1.04180133592
20897,20928,25650,31,4722,5,14400,1.00656501482
20926,20992,22605,66,1613,8,6000,1.04091754495
20987,21033,21128,46,95,1,1800,1.48421052632
20998,21307,22929,309,1622,8,6000,1.19050554871
21304,21408,23009,104,1601,8,6000,1.06495940037
21407,21664,23274,257,1610,8,6000,1.15962732919
21639,22199,22570,560,371,1,1800,2.50943396226
21662,21733,23351,71,1618,8,6000,1.04388133498
21734,21896,23508,162,1612,8,6000,1.10049627792
21842,22917,25606,1075,2689,8,14400,1.39977686872
21898,22194,23804,296,1610,8,6000,1.18385093168
22195,22321,23921,126,1600,8,6000,1.07875
22318,22504,24107,186,1603,8,6000,1.11603243918
22502,22618,24269,116,1651,8,6000,1.07026044821
22615,22628,24233,13,1605,8,6000,1.00809968847
22625,22941,24558,316,1617,8,6000,1.195423624
22942,22961,24576,19,1615,8,6000,1.01176470588
22963,23021,24652,58,1631,8,6000,1.03556100552
23025,23237,24858,212,1621,8,6000,1.130783467
23240,23285,24927,45,1642,8,6000,1.02740560292
23281,23362,24972,81,1610,8,6000,1.05031055901
23363,23472,25092,109,1620,8,6000,1.06728395062
23476,23520,25122,44,1602,8,6000,1.02746566792
23517,23815,25426,298,1611,8,6000,1.18497827436
23727,24062,24107,335,45,1,1800,8.44444444444
23814,23932,25524,118,1592,8,6000,1.07412060302
23937,24120,25727,183,1607,8,6000,1.11387678905
24121,24246,25858,125,1612,8,6000,1.07754342432
24244,24282,25901,38,1619,8,6000,1.02347127857
24285,24570,26183,285,1613,8,6000,1.17668939864
24353,24359,24440,6,81,1,1800,1.07407407407
24572,24587,26206,15,1619,8,6000,1.00926497838
24592,24664,26267,72,1603,8,6000,1.04491578291
24664,24870,26486,206,1616,8,6000,1.12747524752
24869,24939,26570,70,1631,8,6000,1.04291845494
24941,24984,26610,43,1626,8,6000,1.02644526445
24982,25104,26723,122,1619,8,6000,1.0753551575
25073,25079,25319,6,240,1,1800,1.025
25105,25134,26748,29,1614,8,6000,1.01796778191
25136,25438,27060,302,1622,8,6000,1.18618988903
25443,25535,27152,92,1617,8,6000,1.05689548547
25535,25549,27170,14,1621,8,6000,1.00863664405
25546,25618,27279,72,1661,8,6000,1.0433473811
25618,25624,27251,6,1627,8,6000,1.0036877689
25628,25662,27300,34,1638,8,6000,1.02075702076
25659,25738,27363,79,1625,8,6000,1.04861538462
25742,25869,27482,127,1613,8,6000,1.07873527588
25875,25913,27519,38,1606,8,6000,1.02366127024
25916,26196,27806,280,1610,8,6000,1.17391304348
26192,26218,27832,26,1614,8,6000,1.01610904585
26213,26278,27908,65,1630,8,6000,1.03987730061
26275,26498,28100,223,1602,8,6000,1.13920099875
26500,26582,28203,82,1621,8,6000,1.05058605799
26582,26621,28257,39,1636,8,6000,1.02383863081
26623,26735,28353,112,1618,8,6000,1.06922126082
26736,26759,28371,23,1612,8,6000,1.01426799007
26757,27071,28687,314,1616,8,6000,1.19430693069
27073,27163,28774,90,1611,8,6000,1.05586592179
27166,27181,28794,15,1613,8,6000,1.00929944203
27187,27262,28890,75,1628,8,6000,1.04606879607
27259,27290,28905,31,1615,8,6000,1.01919504644
27290,27311,28947,21,1636,8,6000,1.01283618582
27311,27376,29008,65,1632,8,6000,1.03982843137
27372,27493,29121,121,1628,8,6000,1.07432432432
27495,27531,29167,36,1636,8,6000,1.02200488998
27537,27818,29423,281,1605,8,6000,1.17507788162
27823,27844,29467,21,1623,8,6000,1.01293900185
27844,27919,29534,75,1615,8,6000,1.04643962848
27916,28111,29746,195,1635,8,6000,1.11926605505
28110,28215,29830,105,1615,8,6000,1.06501547988
28212,28270,29892,58,1622,8,6000,1.03575832306
28274,28365,29979,91,1614,8,6000,1.05638166047
28366,28382,30008,16,1626,8,6000,1.0098400984
28387,28698,30306,311,1608,8,6000,1.1934079602
28704,28787,30411,83,1624,8,6000,1.05110837438
28786,28805,30431,19,1626,8,6000,1.01168511685
28807,28902,30530,95,1628,8,6000,1.05835380835
28899,28917,30539,18,1622,8,6000,1.0110974106
28920,28958,30608,38,1650,8,6000,1.02303030303
